epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.6462,1.1156,5.05288,1.2394,0.00333,1,0.01871,0.00508,1.76926,7.42901,2.23401,0,0,0
2,29.3602,1.06988,4.50919,1.44525,0.00333,1,0.02158,0.00712,1.68876,7.45147,2.12947,1.9802e-05,1.9802e-05,1.9802e-05
3,40.3654,1.07878,5.06617,1.21764,0.00333,1,0.04226,0.02324,1.51828,7.17787,1.78415,3.9208e-05,3.9208e-05,3.9208e-05
4,52.078,1.00499,4.04853,1.26335,0.00333,1,0.0958,0.04069,1.29804,6.86601,1.59551,5.8218e-05,5.8218e-05,5.8218e-05
5,63.1448,0.85216,4.1241,1.01833,0.00333,1,0.09165,0.0605,1.17806,6.93191,1.5583,7.6832e-05,7.6832e-05,7.6832e-05
6,74.3117,0.75988,3.69168,0.98884,0.00333,1,0.07201,0.05104,1.14974,6.67223,1.49925,9.505e-05,9.505e-05,9.505e-05
7,85.4101,0.87989,3.9681,1.02734,0.00333,1,0.08635,0.05196,1.19394,6.85249,1.45903,0.000112872,0.000112872,0.000112872
8,96.4984,0.71468,3.47626,0.93624,0.00333,1,0.06639,0.04934,1.2091,6.78645,1.50652,0.000130298,0.000130298,0.000130298
9,107.582,0.88364,3.63637,0.98342,0.00333,1,0.0748,0.05344,1.20613,7.01542,1.55929,0.000147328,0.000147328,0.000147328
10,118.634,0.96014,3.12883,0.96923,0.00333,1,0.09359,0.05862,1.27028,7.04226,1.62974,0.000163962,0.000163962,0.000163962
11,129.701,0.9847,3.70694,0.91751,0.00333,1,0.07869,0.0524,1.37847,6.89684,1.6763,0.0001802,0.0001802,0.0001802
12,140.882,0.82527,2.09651,0.89062,0.00333,1,0.07433,0.04315,1.56996,7.21137,1.742,0.000196042,0.000196042,0.000196042
13,151.934,0.7626,2.12449,0.82757,0.00333,1,0.16724,0.08277,1.64145,7.40773,1.75217,0.000211488,0.000211488,0.000211488
14,163.207,0.83845,2.78734,0.92364,0.00333,1,0.29394,0.07853,1.58406,7.25236,1.75673,0.000226538,0.000226538,0.000226538
15,174.334,0.71468,2.06013,0.90402,0.00333,1,0.28306,0.11281,1.58275,7.1824,1.76477,0.000241192,0.000241192,0.000241192
16,185.442,0.80577,1.99502,0.8723,0.00333,1,0.21245,0.10831,1.51015,7.0645,1.81916,0.00025545,0.00025545,0.00025545
17,196.517,0.78636,2.20586,0.86687,0.00333,1,0.3212,0.09566,1.57148,7.17548,1.81217,0.000269312,0.000269312,0.000269312
18,207.491,0.79982,2.76675,0.91433,0.00333,1,0.3212,0.09566,1.57148,7.17548,1.81217,0.000282778,0.000282778,0.000282778
19,218.541,0.70008,2.32168,0.83858,0.00333,1,0.21035,0.11229,1.59457,7.6344,1.72348,0.000295848,0.000295848,0.000295848
20,229.599,0.76961,2.98954,0.95445,0.00333,1,0.21035,0.11229,1.59457,7.6344,1.72348,0.000308522,0.000308522,0.000308522
21,240.792,0.66073,1.86262,0.85981,0.00333,1,0.29424,0.19911,1.65897,7.47109,1.72989,0.0003208,0.0003208,0.0003208
22,251.941,0.63635,2.03283,0.88902,0.00333,1,0.29424,0.19911,1.65897,7.47109,1.72989,0.000332682,0.000332682,0.000332682
23,263.072,0.6772,1.69521,0.85279,0.00333,1,0.23816,0.18962,1.64855,7.59043,1.766,0.000344168,0.000344168,0.000344168
24,274.207,0.72776,1.7943,0.85462,0.00333,1,0.23816,0.18962,1.64855,7.59043,1.766,0.000355258,0.000355258,0.000355258
25,285.436,0.80002,1.61164,0.88319,0.00333,1,0.2367,0.18866,1.64587,7.82627,1.80275,0.000365952,0.000365952,0.000365952
26,296.771,0.70877,1.58171,0.86429,0.00333,1,0.2367,0.18866,1.64587,7.82627,1.80275,0.00037625,0.00037625,0.00037625
27,308.148,0.72038,2.43512,0.8946,0.00333,1,0.24407,0.18696,1.5898,7.51212,1.8653,0.000386152,0.000386152,0.000386152
28,319.315,0.78398,2.22294,0.94986,0.00333,1,0.24407,0.18696,1.5898,7.51212,1.8653,0.000395658,0.000395658,0.000395658
29,330.451,0.72162,2.12938,0.89572,0.00267,0.8,0.21242,0.20242,1.54045,7.97674,1.87582,0.000404768,0.000404768,0.000404768
30,341.591,0.86483,2.33841,0.92015,0.00267,0.8,0.21242,0.20242,1.54045,7.97674,1.87582,0.000413482,0.000413482,0.000413482
31,352.805,0.74253,1.76856,0.90342,0.00267,0.8,0.21897,0.20246,1.59972,8.51248,1.93978,0.0004218,0.0004218,0.0004218
32,364.002,0.81143,2.21691,0.93867,0.00267,0.8,0.21897,0.20246,1.59972,8.51248,1.93978,0.000429722,0.000429722,0.000429722
33,375.237,0.84533,2.0502,0.93218,0.00267,0.8,0.21048,0.19777,1.6604,8.24522,1.94721,0.000437248,0.000437248,0.000437248
34,386.266,0.74642,2.92821,0.91812,0.00267,0.8,0.21048,0.19777,1.6604,8.24522,1.94721,0.000444378,0.000444378,0.000444378
35,397.52,0.64995,2.43347,0.85461,0.00267,0.8,0.19981,0.1963,1.85791,8.62653,2.07424,0.000451112,0.000451112,0.000451112
36,408.72,0.74354,2.02378,0.93742,0.00267,0.8,0.19981,0.1963,1.85791,8.62653,2.07424,0.00045745,0.00045745,0.00045745
37,419.945,0.82337,1.73001,0.88552,0.00267,0.8,0.19803,0.19582,2.02667,8.51141,2.21618,0.000463392,0.000463392,0.000463392
38,431.166,0.73794,2.14168,0.90047,0.00267,0.8,0.19803,0.19582,2.02667,8.51141,2.21618,0.000468938,0.000468938,0.000468938
39,442.27,0.63079,1.9803,0.89139,0.00267,0.8,0.19765,0.19586,2.19984,8.69586,2.30558,0.000474088,0.000474088,0.000474088
40,453.389,0.67973,2.00132,0.85701,0.00267,0.8,0.19765,0.19586,2.19984,8.69586,2.30558,0.000478842,0.000478842,0.000478842
41,464.427,0.57439,3.1147,0.88402,0.002,0.6,0.20262,0.1383,2.22964,8.65115,2.33921,0.0004832,0.0004832,0.0004832
42,475.479,0.6956,2.23602,0.89967,0.002,0.6,0.20262,0.1383,2.22964,8.65115,2.33921,0.000487162,0.000487162,0.000487162
43,486.644,0.65491,1.78554,0.87087,0.00267,0.8,0.20756,0.1287,1.90468,8.58473,2.01272,0.000490728,0.000490728,0.000490728
44,497.63,0.61663,2.40757,0.89387,0.00267,0.8,0.20756,0.1287,1.90468,8.58473,2.01272,0.000493898,0.000493898,0.000493898
45,508.77,0.73897,1.81124,0.96888,0.002,0.6,0.19743,0.11776,2.35422,9.41454,2.31602,0.000496672,0.000496672,0.000496672
46,519.936,0.74626,1.76926,0.86577,0.002,0.6,0.19743,0.11776,2.35422,9.41454,2.31602,0.00049905,0.00049905,0.00049905
47,530.992,0.76487,1.89375,0.915,0.002,0.6,0.20223,0.09503,2.51734,10.3422,2.49967,0.000501032,0.000501032,0.000501032
48,542.057,0.62751,1.41972,0.87583,0.002,0.6,0.20223,0.09503,2.51734,10.3422,2.49967,0.000502618,0.000502618,0.000502618
49,553.346,0.64212,1.8836,0.90266,0.002,0.6,0.23004,0.10346,2.58655,9.74829,2.65536,0.000503808,0.000503808,0.000503808
50,564.486,0.68805,1.67608,0.85745,0.002,0.6,0.23004,0.10346,2.58655,9.74829,2.65536,0.000504602,0.000504602,0.000504602
51,575.673,0.60513,1.6437,0.8469,0.002,0.6,0.26707,0.08022,2.64048,10.0187,2.66368,0.000505,0.000505,0.000505
52,586.777,0.72394,1.49801,0.90386,0.002,0.6,0.26707,0.08022,2.64048,10.0187,2.66368,0.000505002,0.000505002,0.000505002
53,598.407,0.50739,1.38402,0.85375,0.002,0.6,0.26707,0.08022,2.64048,10.0187,2.66368,0.000504608,0.000504608,0.000504608
54,609.724,0.5564,1.36238,0.83565,0.11817,0.4,0.25052,0.07409,2.97071,10.3606,2.86085,0.000503818,0.000503818,0.000503818
55,620.356,0.59707,1.99124,0.88771,0.11817,0.4,0.25052,0.07409,2.97071,10.3606,2.86085,0.000502632,0.000502632,0.000502632
56,631.014,0.65608,1.65209,0.87071,0.11817,0.4,0.25052,0.07409,2.97071,10.3606,2.86085,0.00050105,0.00050105,0.00050105
57,641.76,0.49894,1.44606,0.82817,0.002,0.6,0.26699,0.04422,3.31252,12.4967,3.01081,0.000499072,0.000499072,0.000499072
58,652.348,0.52088,1.87673,0.86389,0.002,0.6,0.26699,0.04422,3.31252,12.4967,3.01081,0.000496698,0.000496698,0.000496698
59,662.948,0.5541,1.89528,0.82317,0.002,0.6,0.26699,0.04422,3.31252,12.4967,3.01081,0.000493928,0.000493928,0.000493928
60,673.896,0.78536,2.27803,0.97819,0.002,0.6,0.26874,0.08016,3.22804,13.2043,2.94201,0.000490762,0.000490762,0.000490762
61,685.374,0.75108,1.77674,0.85602,0.002,0.6,0.26874,0.08016,3.22804,13.2043,2.94201,0.0004872,0.0004872,0.0004872
62,696.331,0.59798,1.7949,0.88645,0.002,0.6,0.26874,0.08016,3.22804,13.2043,2.94201,0.000483242,0.000483242,0.000483242
63,707.224,0.68393,1.93643,0.88736,0.16581,0.2,0.28112,0.09493,3.02498,13.3565,2.85103,0.000478888,0.000478888,0.000478888
64,718.145,0.55704,1.92418,0.864,0.16581,0.2,0.28112,0.09493,3.02498,13.3565,2.85103,0.000474138,0.000474138,0.000474138
65,729.093,0.67437,1.72034,1.00033,0.16581,0.2,0.28112,0.09493,3.02498,13.3565,2.85103,0.000468992,0.000468992,0.000468992
66,739.978,0.55483,1.68903,0.84621,0.46281,0.2,0.29541,0.10366,2.64431,13.8629,2.58668,0.00046345,0.00046345,0.00046345
67,751.014,0.62676,1.62587,0.86228,0.46281,0.2,0.29541,0.10366,2.64431,13.8629,2.58668,0.000457512,0.000457512,0.000457512
68,761.89,0.72344,1.62414,0.90238,0.46281,0.2,0.29541,0.10366,2.64431,13.8629,2.58668,0.000451178,0.000451178,0.000451178
69,772.821,0.61391,1.51656,0.84779,0.49642,0.2,0.29541,0.10856,2.45193,12.8541,2.46727,0.000444448,0.000444448,0.000444448
70,783.846,0.66294,1.42734,0.90441,0.49642,0.2,0.29541,0.10856,2.45193,12.8541,2.46727,0.000437322,0.000437322,0.000437322
71,794.917,0.56345,1.27566,0.91048,0.49642,0.2,0.29541,0.10856,2.45193,12.8541,2.46727,0.0004298,0.0004298,0.0004298
72,805.801,0.45304,1.50096,0.82171,0.64423,0.37308,0.3749,0.10883,2.39995,12.3592,2.41085,0.000421882,0.000421882,0.000421882
73,816.537,0.50277,1.40611,0.87444,0.64423,0.37308,0.3749,0.10883,2.39995,12.3592,2.41085,0.000413568,0.000413568,0.000413568
74,827.267,0.4998,1.51837,0.86411,0.64423,0.37308,0.3749,0.10883,2.39995,12.3592,2.41085,0.000404858,0.000404858,0.000404858
75,838.111,0.48567,1.56429,0.82868,0.25274,0.20365,0.30874,0.12323,2.41171,12.839,2.44918,0.000395752,0.000395752,0.000395752
76,848.83,0.37126,1.22625,0.83997,0.25274,0.20365,0.30874,0.12323,2.41171,12.839,2.44918,0.00038625,0.00038625,0.00038625
77,859.644,0.43657,1.148,0.83429,0.25274,0.20365,0.30874,0.12323,2.41171,12.839,2.44918,0.000376352,0.000376352,0.000376352
78,870.466,0.53306,1.38273,0.86098,0.6486,0.37833,0.26772,0.07764,2.34601,12.4467,2.4041,0.000366058,0.000366058,0.000366058
79,881.271,0.54541,1.22605,0.8184,0.6486,0.37833,0.26772,0.07764,2.34601,12.4467,2.4041,0.000355368,0.000355368,0.000355368
80,892.051,0.48029,1.45812,0.86739,0.6486,0.37833,0.26772,0.07764,2.34601,12.4467,2.4041,0.000344282,0.000344282,0.000344282
81,903.001,0.38313,1.29524,0.83234,0.65154,0.38185,0.33045,0.09841,2.27786,11.6265,2.29797,0.0003328,0.0003328,0.0003328
82,913.734,0.57533,1.26834,0.86742,0.65154,0.38185,0.33045,0.09841,2.27786,11.6265,2.29797,0.000320922,0.000320922,0.000320922
83,924.475,0.50399,1.82165,0.8943,0.65154,0.38185,0.33045,0.09841,2.27786,11.6265,2.29797,0.000308648,0.000308648,0.000308648
84,935.405,0.57949,1.29168,0.87159,0.65572,0.38687,0.26555,0.08595,2.22874,11.0482,2.34926,0.000295978,0.000295978,0.000295978
85,946.244,0.52565,1.06898,0.83987,0.65572,0.38687,0.26555,0.08595,2.22874,11.0482,2.34926,0.000282912,0.000282912,0.000282912
86,956.99,0.47761,1.19186,0.80451,0.65572,0.38687,0.26555,0.08595,2.22874,11.0482,2.34926,0.00026945,0.00026945,0.00026945
